CITY OF BELLINGHAM Mayor - Precinct Results 08/01/2023
"","Christopher J. McCoy","Kim Lund","Seth Fleetwood","Mike McAuley","Kristina Michele Martens","WRITE-IN"
"Total","1213","5813","8440","3639","3628","252"
"201","34","67","129","54","66","6"
"202","30","87","164","72","32","3"
"203","34","70","137","47","55","2"
"204","27","74","84","75","59","6"
"205","14","84","149","72","44","7"
"206","23","74","103","67","54","2"
"207","20","54","66","45","42","4"
"208","24","70","190","67","46","4"
"209","19","57","111","71","50","3"
"210","20","69","86","48","46","3"
"211","4","13","17","4","10","0"
"212","9","25","33","20","14","5"
"213","20","54","86","50","62","2"
"214","24","75","100","78","83","6"
"215","14","88","103","51","69","0"
"216","15","114","170","90","70","6"
"217","41","135","197","65","93","7"
"218","27","61","123","47","73","3"
"219","22","108","116","52","73","6"
"220","28","137","164","57","22","2"
"221","12","131","169","88","62","2"
"222","12","167","190","61","68","2"
"223","11","151","207","78","78","1"
"224","11","170","154","76","73","5"
"225","13","82","101","48","52","1"
"226","13","108","114","47","79","6"
"227","11","66","98","46","94","2"
"228","11","27","39","34","59","5"
"229","16","36","50","37","46","0"
"230","5","36","32","32","44","6"
"231","27","92","100","57","63","2"
"232","17","112","165","79","29","7"
"233","18","123","179","68","52","2"
"234","25","140","144","59","36","6"
"235","18","89","142","73","41","2"
"236","19","88","199","67","24","4"
"237","20","55","136","64","42","9"
"238","32","75","89","62","74","2"
"239","17","52","66","53","76","6"
"240","15","52","81","47","108","8"
"241","17","159","185","62","66","13"
"242","8","41","47","30","61","1"
"243","15","89","101","39","76","4"
"244","6","41","40","30","73","4"
"245","19","55","97","58","78","6"
"246","31","61","81","55","49","4"
"247","11","38","97","48","57","1"
"248","10","117","170","59","65","10"
"249","30","148","144","69","37","5"
"250","14","90","127","48","27","2"
"251","19","90","138","37","25","4"
"252","13","130","219","43","39","2"
"253","2","18","49","19","10","0"
"254","6","25","30","18","68","4"
"255","26","107","125","53","55","1"
"256","22","157","285","62","33","4"
"257","8","54","139","44","89","1"
"258","9","80","119","50","62","2"
"259","15","68","118","45","64","5"
"260","20","35","60","41","66","4"
"261","25","129","188","83","54","4"
"262","24","74","239","61","53","0"
"263","27","199","231","60","23","2"
"264","14","195","237","50","29","4"
"265","26","96","207","104","71","5"
"266","24","149","184","63","35","5"
